sample	bat_species	latitude	longitude	lifestage	sex	habitat	sp_habitat	bat_sp	biome
E25	Eptesicus bottae	30.04847	35.08011	adult	female	Natural	Eb_Nat	Eb	Arid
E31	Eptesicus bottae	29.82104	35.03658	adult	female	Anthropogenic	Eb_Anth	Eb	Arid
H19	Hypsugo ariel	30.07258	34.82869	adult	female	Natural	Ha_Nat	Ha	Arid
H40	Hypsugo ariel	30.93769	35.04099	adult	male	Natural	Ha_Nat	Ha	Arid
H45	Hypsugo ariel	30.956	35.36392	adult	female	Anthropogenic	Ha_Anth	Ha	Arid
P33	Pipistrellus kuhlii	30.9899	34.89813	adult	female	Anthropogenic	Pk_Anth	Pk	Arid
E44	Eptesicus bottae	30.37134	35.15411	adult	female	Anthropogenic	Eb_Anth	Eb	Arid
E56	Eptesicus bottae	30.84797	34.78022	adult	male	Anthropogenic	Eb_Anth	Eb	Arid
H06	Hypsugo ariel	30.956	35.36392	adult	female	Anthropogenic	Ha_Anth	Ha	Arid
H43	Hypsugo ariel	30.956	35.36392	adult	female	Anthropogenic	Ha_Anth	Ha	Arid
P05	Pipistrellus kuhlii	30.84797	34.78022	adult	male	Anthropogenic	Pk_Anth	Pk	Arid
P65	Pipistrellus kuhlii	30.84797	34.78022	adult	male	Anthropogenic	Pk_Anth	Pk	Arid
P75	Pipistrellus kuhlii	31.62847	34.7996862	adult	male	Anthropogenic	Pk_Anth	Pk	Med
H09	Hypsugo ariel	30.60219	34.93769	adult	male	Natural	Ha_Nat	Ha	Arid
H47	Hypsugo ariel	30.956	35.36392	adult	male	Anthropogenic	Ha_Anth	Ha	Arid
P43	Pipistrellus kuhlii	30.9899	34.89813	adult	male	Anthropogenic	Pk_Anth	Pk	Arid
P45	Pipistrellus kuhlii	29.57374	34.97178	adult	female	Anthropogenic	Pk_Anth	Pk	Arid
E18	Eptesicus bottae	30.00946	35.09695	adult	female	Anthropogenic	Eb_Anth	Eb	Arid
E48	Eptesicus bottae	30.37134	35.15411	adult	female	Anthropogenic	Eb_Anth	Eb	Arid
H34	Hypsugo ariel	30.81726	35.28288	adult	female	Anthropogenic	Ha_Anth	Ha	Arid
H37	Hypsugo ariel	30.93769	35.04099	adult	male	Natural	Ha_Nat	Ha	Arid
P09	Pipistrellus kuhlii	30.84797	34.78022	adult	female	Anthropogenic	Pk_Anth	Pk	Arid
P64	Pipistrellus kuhlii	30.84797	34.78022	adult	female	Anthropogenic	Pk_Anth	Pk	Arid
E58	Eptesicus bottae	30.60219	34.93769	adult	male	Natural	Eb_Nat	Eb	Arid
P36	Pipistrellus kuhlii	30.81465	34.81362	adult	female	Natural	Pk_Nat	Pk	Arid
P58	Pipistrellus kuhlii	29.57374	34.97178	juvenile	female	Anthropogenic	Pk_Anth	Pk	Med
E27	Eptesicus bottae	30.04847	35.08011	juvenile	female	Natural	Eb_Nat	Eb	Arid
H08	Hypsugo ariel	30.94398	35.07323	adult	male	Natural	Ha_Nat	Ha	Arid
H20	Hypsugo ariel	30.07258	34.82869	adult	female	Natural	Ha_Nat	Ha	Arid
H23	Hypsugo ariel	30.07258	34.82869	adult	female	Natural	Ha_Nat	Ha	Arid
P53	Pipistrellus kuhlii	32.4523039	34.9551671	adult	female	Anthropogenic	Pk_Anth	Pk	Med
E34	Eptesicus bottae	30.04847	35.08011	adult	female	Natural	Eb_Nat	Eb	Arid
H16	Hypsugo ariel	30.60219	34.93769	adult	female	Natural	Ha_Nat	Ha	Arid
H25	Hypsugo ariel	30.07258	34.82869	adult	female	Natural	Ha_Nat	Ha	Arid
P14	Pipistrellus kuhlii	30.84797	34.78022	adult	male	Anthropogenic	Pk_Anth	Pk	Arid
P34	Pipistrellus kuhlii	30.9899	34.89813	adult	female	Anthropogenic	Pk_Anth	Pk	Arid
P51	Pipistrellus kuhlii	31.62847	34.7996862	adult	male	Anthropogenic	Pk_Anth	Pk	Med
P60	Pipistrellus kuhlii	29.57374	34.97178	adult	female	Anthropogenic	Pk_Anth	Pk	Med
P72	Pipistrellus kuhlii	31.62847	34.7996862	adult	male	Anthropogenic	Pk_Anth	Pk	Med
H32	Hypsugo ariel	30.37134	35.15411	adult	male	Anthropogenic	Ha_Anth	Ha	Arid
P48	Pipistrellus kuhlii	30.84797	34.78022	adult	female	Anthropogenic	Pk_Anth	Pk	Arid
H07	Hypsugo ariel	30.956	35.36392	adult	female	Anthropogenic	Ha_Anth	Ha	Arid
H12	Hypsugo ariel	30.60219	34.93769	juvenile	female	Natural	Ha_Nat	Ha	Arid
P01	Pipistrellus kuhlii	30.85377	34.78443	adult	female	Anthropogenic	Pk_Anth	Pk	Arid
E30	Eptesicus bottae	29.82104	35.03658	adult	male	Anthropogenic	Eb_Anth	Eb	Arid
H10	Hypsugo ariel	30.60219	34.93769	adult	male	Natural	Ha_Nat	Ha	Arid
P47	Pipistrellus kuhlii	30.84797	34.78022	adult	male	Anthropogenic	Pk_Anth	Pk	Arid
P67	Pipistrellus kuhlii	32.4523039	34.9551671	adult	female	Anthropogenic	Pk_Anth	Pk	Med
P79	Pipistrellus kuhlii	31.62847	34.7996862	adult	female	Anthropogenic	Pk_Anth	Pk	Med
H39	Hypsugo ariel	30.93769	35.04099	adult	male	Natural	Ha_Nat	Ha	Arid
P25	Pipistrellus kuhlii	30.85377	34.78443	adult	female	Anthropogenic	Pk_Anth	Pk	Arid